rep,guard,recall,fpr
278,v2,0.8535132989281461,0.0
278,v3,1.0,0.0
279,v2,0.8547140649149922,0.0
279,v3,1.0,0.0
280,v2,0.8573127229488704,0.0
280,v3,1.0,0.0
281,v2,0.8514421177400237,0.0
281,v3,1.0,0.0
282,v2,0.8551068883610451,0.0
282,v3,1.0,0.0
283,v2,0.8551456310679612,0.0
283,v3,1.0,0.0
284,v2,0.8574821852731591,0.0
284,v3,1.0,0.0
285,v2,0.8591772151898734,0.0
285,v3,1.0,0.0
286,v2,0.851652574942352,0.0
286,v3,1.0,0.0
287,v2,0.8556981719175418,0.0
287,v3,1.0,0.0
288,v2,0.85385500575374,0.0
288,v3,1.0,0.0
289,v2,0.8569744597249509,0.0
289,v3,1.0,0.0
290,v2,0.8549004594180705,0.0
290,v3,1.0,0.0
291,v2,0.8541748333986672,0.0
291,v3,1.0,0.0
292,v2,0.853515625,0.0
292,v3,1.0,0.0
293,v2,0.8536679536679537,0.0
293,v3,1.0,0.0
294,v2,0.8501351873310158,0.0
294,v3,1.0,0.0
295,v2,0.855072463768116,0.0
295,v3,1.0,0.0
296,v2,0.8573661586557249,0.0
296,v3,1.0,0.0
297,v2,0.8563084112149533,0.0
297,v3,1.0,0.0
298,v2,0.8530805687203792,0.0
298,v3,1.0,0.0
299,v2,0.8488188976377953,0.0
299,v3,1.0,0.0
300,v2,0.8579835229501765,0.0
300,v3,1.0,0.0
301,v2,0.8459724950884087,0.0
301,v3,1.0,0.0
302,v2,0.8550893550893551,0.0
302,v3,1.0,0.0
303,v2,0.8582554517133957,0.0
303,v3,1.0,0.0
304,v2,0.856973058637084,0.0
304,v3,1.0,0.0
305,v2,0.849591916051302,0.0
305,v3,1.0,0.0
306,v2,0.854199066874028,0.0
306,v3,1.0,0.0
307,v2,0.8510140405616224,0.0
307,v3,1.0,0.0
308,v2,0.8515471993732864,0.0
308,v3,1.0,0.0
309,v2,0.8483430799220273,0.0
309,v3,1.0,0.0
310,v2,0.8561484918793504,0.0
310,v3,1.0,0.0
311,v2,0.8520825223822499,0.0
311,v3,1.0,0.0
312,v2,0.858424336973479,0.0
312,v3,1.0,0.0
313,v2,0.8546646106399384,0.0
313,v3,1.0,0.0
314,v2,0.8463654223968566,0.0
314,v3,1.0,0.0
315,v2,0.857308584686775,0.0
315,v3,1.0,0.0
316,v2,0.8482653450247808,0.0
316,v3,1.0,0.0
317,v2,0.85546875,0.0
317,v3,1.0,0.0
318,v2,0.8507286333202048,0.0
318,v3,1.0,0.0
319,v2,0.8566392479435958,0.0
319,v3,1.0,0.0
320,v2,0.8531791907514451,0.0
320,v3,1.0,0.0
321,v2,0.8506240249609984,0.0
321,v3,1.0,0.0
322,v2,0.848071679002727,0.0
322,v3,1.0,0.0
323,v2,0.855975087582717,0.0
323,v3,1.0,0.0
324,v2,0.8577486507324595,0.0
324,v3,1.0,0.0
325,v2,0.8568047337278106,0.0
325,v3,1.0,0.0
326,v2,0.8535433070866142,0.0
326,v3,1.0,0.0
327,v2,0.8558103381267004,0.0
327,v3,1.0,0.0
328,v2,0.8479027832222658,0.0
328,v3,1.0,0.0
329,v2,0.8453846153846154,0.0
329,v3,1.0,0.0
330,v2,0.8558558558558559,0.0
330,v3,1.0,0.0
331,v2,0.8568075117370892,0.0
331,v3,1.0,0.0
332,v2,0.8535548686244204,0.0
332,v3,1.0,0.0
333,v2,0.854273335959039,0.0
333,v3,1.0,0.0
334,v2,0.8534214618973561,0.0
334,v3,1.0,0.0
335,v2,0.854863813229572,0.0
335,v3,1.0,0.0
336,v2,0.8501960784313726,0.0
336,v3,1.0,0.0
337,v2,0.856140350877193,0.0
337,v3,1.0,0.0
338,v2,0.8579277864992151,0.0
338,v3,1.0,0.0
339,v2,0.8519095869056897,0.0
339,v3,1.0,0.0
340,v2,0.8525417151726814,0.0
340,v3,1.0,0.0
341,v2,0.85489443378119,0.0
341,v3,1.0,0.0
342,v2,0.8554027504911591,0.0
342,v3,1.0,0.0
