rep,guard,recall,fpr
139,v3,1.0,0.0
140,v2,0.8550214927706136,0.0
140,v3,1.0,0.0
141,v2,0.8541423570595099,0.0
141,v3,1.0,0.0
142,v2,0.8464257659073056,0.0
142,v3,1.0,0.0
143,v2,0.8498638661999222,0.0
143,v3,1.0,0.0
144,v2,0.8468786808009423,0.0
144,v3,1.0,0.0
145,v2,0.8531274742676168,0.0
145,v3,1.0,0.0
146,v2,0.8529297632906481,0.0
146,v3,1.0,0.0
147,v2,0.859009900990099,0.0
147,v3,1.0,0.0
148,v2,0.8565891472868217,0.0
148,v3,1.0,0.0
149,v2,0.852803738317757,0.0
149,v3,1.0,0.0
150,v2,0.8542070569988368,0.0
150,v3,1.0,0.0
151,v2,0.8515044939429465,0.0
151,v3,1.0,0.0
152,v2,0.8543072647876141,0.0
152,v3,1.0,0.0
153,v2,0.8552071234998064,0.0
153,v3,1.0,0.0
154,v2,0.8551965745426235,0.0
154,v3,1.0,0.0
155,v2,0.8509895227008148,0.0
155,v3,1.0,0.0
156,v2,0.8536585365853658,0.0
156,v3,1.0,0.0
157,v2,0.8619607843137255,0.0
157,v3,1.0,0.0
158,v2,0.8557466770914777,0.0
158,v3,1.0,0.0
159,v2,0.8575353218210361,0.0
159,v3,1.0,0.0
160,v2,0.8493788819875776,0.0
160,v3,1.0,0.0
161,v2,0.8493788819875776,0.0
161,v3,1.0,0.0
162,v2,0.8530225207427894,0.0
162,v3,1.0,0.0
163,v2,0.85199841709537,0.0
163,v3,1.0,0.0
164,v2,0.8496884735202492,0.0
164,v3,1.0,0.0
165,v2,0.8500196309383589,0.0
165,v3,1.0,0.0
166,v2,0.8495950636328576,0.0
166,v3,1.0,0.0
167,v2,0.8506998444790047,0.0
167,v3,1.0,0.0
168,v2,0.8528834837191055,0.0
168,v3,1.0,0.0
169,v2,0.8530676045330207,0.0
169,v3,1.0,0.0
170,v2,0.8492248062015504,0.0
170,v3,1.0,0.0
171,v2,0.8528155339805825,0.0
171,v3,1.0,0.0
172,v2,0.8569771936606108,0.0
172,v3,1.0,0.0
173,v2,0.8525943396226415,0.0
173,v3,1.0,0.0
174,v2,0.8548387096774194,0.0
174,v3,1.0,0.0
175,v2,0.8499413833528722,0.0
175,v3,1.0,0.0
176,v2,0.8500978473581213,0.0
176,v3,1.0,0.0
177,v2,0.8477924089852827,0.0
177,v3,1.0,0.0
178,v2,0.8486149044088959,0.0
178,v3,1.0,0.0
179,v2,0.8541423570595099,0.0
179,v3,1.0,0.0
180,v2,0.8517801857585139,0.0
180,v3,1.0,0.0
181,v2,0.8525490196078431,0.0
